id,label,context
20001089,volleyball,"Two teams of six record points by hitting a ball over a net into the opponent's half of the court, keeping it in the air at all times. Points are won when opponents fail to return the ball."
20001090,beach volleyball,"Two teams of two players compete on a sand court. Unlike indoor volleyball, points are scored only when the serving team wins a rally or forces an error. The sand surface makes it more physically demanding than volleyball"
20001091,water polo,"Played in a pool between two teams of 7, who must stay afloat and can only use one hand to pass the ball or swim with it before trying to throw it into the opponents net to score goals."
20001092,water skiing,On one or two skis contestants are pulled by a power boat along the water's surface
20001093,weightlifting and powerlifting,A strength test where competitors lift as heavy a weight as possible
20001094,clean and jerk (weightlifting),The bar is first lifted to the shoulders and then jerk it above the head and keep it there while maintaining straight legs
20001095,powerlifting,A strength test where competitors lift as heavy a weight as possible
20001096,snatch (weightlifting),The bar must be lifted from floor to above the head in one movement
20001097,windsurfing,Contestants must complete a marked out course as fast as possible on a windsurf board
20001098,wrestling,"Combat sport where each wrestler attempts to win over his adversary, by holding both shoulders on the ground (fall) long enough to be in control. Points can also be decisive."
20001099,freestyle wrestling,A style where leg holds are allowed
20001100,greco-roman,A style where the only holds allowed are those between the head and the belt
20001101,Swiss wrestling,Traditional Swiss sport similar to wrestling with specific rules
20001102,wushu,Chinese traditional martial art
20001103,disciplinary action in sport,"Actions, including fines and suspensions levied by sports organizations and teams"
20001104,drug use in sport,"Drug use associated with sport activities, including doping, abuse, testing and permitted medical uses"
20001105,drug abuse in sport,Using drugs to improve competitiveness in sports
20001106,drug testing in sport,Means and ways to check the use of drugs in sports
20001107,medical drug use in sport,Use of drugs for medical reasons as permitted by sport regulators
20001108,sport event,An event featuring one or more sport competitions
20001109,continental championship,A competition where individuals or teams from countries from one continent may participate. Called a *Championship*
20001110,continental cup,A competition where individuals or teams from countries from one continent may participate. Called a *Cup*
20001111,continental games,A competition where individuals or teams from countries from one continent may participate. Called *Games*
20001112,international championship,A competition where individuals or teams from different countries may participate. Called a *Championship*
20001113,international cup,A competition where individuals or teams from different countries may participate. Called a *Cup*
20001114,international games,A competition where individuals or teams from different countries may participate. Called *Games*
20001115,national championship,A competition where individuals or teams from one country may participate. Called a *Championship*
20001116,national cup,A competition where individuals or teams from one country may participate. Called a *Cup*
20001117,national games,A competition where individuals or teams from one country may participate. Called *Games*
20001118,regional championship,A competition where individuals or teams from a region of a country may participate. Called a *Championship*
20001119,regional cup,A competition where individuals or teams from a region of a country may participate. Called a *Cup*
20001120,regional games,A competition where individuals or teams from a region of a country may participate. Called *Games*
20001121,world championship,A competition where individuals or teams from the five continents may participate. Called *World Championship*
20001122,world cup,A competition where individuals or teams from the five continents may participate. Called *World Cup*
20001123,world games,A competition where individuals or teams from the five continents may participate. Called *World Games*
20001124,sport industry,Commercial issues related to sport
20001125,sport organization,Organizations or associations that govern sports
20001126,sport venue,Commercial facility for sporting event
20001128,weather forecast,The long- or short-term meteorological prediction and reporting of the upcoming weather for a given region
20001129,weather phenomena,"Short- or long-term meteorological phenomena worthy of study, reporting or public advisory such as climate change, storms, heat waves or tornadoes"
20001130,weather statistic,"Numerical facts about the weather such as temperature, barometric pressure, river levels, humidity or high and low tides"
20001131,weather warning,Alerts issued to the public about severe or notable weather in their area
20001132,cultural policy,Government policies related to the promotion and support of the arts
20001133,musical,A genre of music theatre in which singing and dancing play an essential part of the storytelling
20001134,operetta,A genre of music theatre that usually has a light or humorous theme where some of the libretto is usually spoken rather than sung.
20001135,art exhibition,"Temporary presentation of art in museums, art halls or galleries"
20001136,trade show or expo,Market place to display and trade goods or services
20001137,stock recommendation,An analyst's recommendation for particular stocks. May include the analyst*s price target for the stock.
20001138,buy recommendation,An analyst's recommendation to buy particular stocks. May include the analyst*s price target for the stock.
20001139,hold recommendation,An analyst's recommendation to hold particular stocks. May include the analyst*s price target for the stock.
20001140,sell recommendation,An analyst's recommendation to sell particular stocks. May include the analyst*s price target for the stock.
20001141,hot stock,Remarkable price movements of a particular stock.
20001142,recreational hiking and climbing,Sportive activities in the mountains including climbing and hiking
20001143,party,"A social gathering of invited guests, often involving eating, drinking, dancing or the playing of games"
20001144,civilian service,Unpaid service for the community as civilian
20001145,military service,Service by an individual in an army or militia. Service may be on a volunteer basis or a result of an involuntary draft or government requirement.
20001146,integration policy,Improving the co-existence of groups of the society
20001147,sports policies,"Government policies regulating sports, including sports betting, performance enhancing drug laws and the promition of sports to children for health purposes"
20001148,sports transaction,"The transfer of an athlete from one team to another, the hiring or drafting of an athlete onto a team or the change in professional status of a player on a team"
20001149,cross-country skiing,"Nordic ski race competed in relatively-flat, snowy countryside on narrow skis."
20001150,Nordic combined,Competition combining cross-country skiing and ski jumping
20001151,short track speed skating,Races competed by four or more skaters at a time on a small oval ice track
20001152,artistic gymnastics,Gymnasts perform artistic and acrobatic moves on different apparatus. There are 6 events for men and 4 for women
20001153,Telemark skiing,Races combining downhill and cross-country skiing events with unique Telemark techniques and equipment.
20001154,chess,"Competition between two players using a checkered board with 16 pieces to each side, each with specific ranges of movement depending on their identity"
20001155,roller sports,"Various competitions using wheeled equipment such as roller skates, inline skates, and skateboards."
20001156,skateboarding,Competitions involving stunts and acrobatic feats performed on a skateboard using various ramps and other obstacles
20001157,martial arts,"Martial arts are codified systems and traditions of combat practices, which are practiced for a variety of reasons: self-defense, competition, physical health and fitness, entertainment, as well as mental, physical, and spiritual development."
20001158,start-up and entrepreneurial business,"The process of designing, launching and running a new business"
20001159,public contract,"Written contracts between companies and public authorities for the execution of works, the supply of products or the provision of services."
20001160,handicrafts,The creators and sellers of crafts and the making and selling of the supplies used to make those crafts
20001161,Internet of Things,"A network of devices using microchips, electronic sensors and communication by the Internet"
20001162,asset management,Managing investments on behalf of others
20001163,client relationship management,Creating and maintaining a relationship with the customers to increase sales.
20001164,payment service,"Services for executing payments including cash, cheque, credit card, debit card, direct debit, electronic funds transfer, internet banking, electronic and mobile payment."
20001165,capital goods,Durable goods used in the production of other goods or services.
20001166,railway manufacturing,Manufactures of rolling stock and suppliers for the maintenance and repair of railroads
20001167,medical equipment,Manufacture of medical and surgical devices for diagnosis and treatment such as optical and imaging equipment
20001168,pet product and service,"Hygiene products, care and nutrition for pets"
20001169,e-cigarette,An electronic cigarette is a battery-operated device with an atomizer and a cartridge containing either a nicotine or a non-nicotine liquid solution.
20001170,logistics,"Supply chain, inventory management and transportation of products."
20001171,sharing economy,Peer-to-peer-based sharing of access to goods and services
20001172,small and medium enterprise,"A small and medium enterprise (SME) is a company whose number of employees, balance and turnover cannot exceed certain limits set by the country where it is located"
20001173,regulatory authority,Authority responsible for the regulation or supervision of a business sector.
20001174,regional development policy,"Government or private policies, such as business incentives, aimed at the development of a region"
20001175,synchronized swimming,"A sport in which swimmers, in solo, duet or team configurations, perform coordinated or identical movements in time to music. They are judged and are awarded points for body position, control, and the degree of difficulty of the moves."
20001176,rugby,"A form of football developed in Rugby (England) played with an oval ball that may be kicked, carried and passed from hand to hand. Points are scored when one team carries the ball over the other team's goal line or kicks the ball between two goal posts."
20001177,Olympic Games,Games organized by the International Olympic Committee and held each 4 years in summer or winter.
20001178,Paralympic Games,Games for disabled athletes organized by the International Paralympic Committee and held each 4 years in winter or summer
20001179,series,A connected set of fictional or non-fictional program episodes that run under the same title.
20001180,drama (theatre),A genre of theatre where dramatic or comedic plays are performed on the stage
20001181,festival,"Events showcasing artistic endeavors, often regularly occurring, such as dance, music, theater, poetry or comedy festivals"
20001182,social media,Content created to be shared within online social networks
20001183,eSports,Competitions involving video games played by professional gamers
20001184,hip hop,A genre of music developed in African American communities in the United States in the 1970s which consists of rapping usually with an electronic backing
20001185,r&b,A genre of music originated in African American communities in the 1940s and featuring soulful vocals
20001186,heavy metal,"A genre of loud, aggressive rock music that was developed in the late 1960s and early 1970s"
20001187,dance band music,"A Swedish genre of music characterized by music inspired by swing, schlager, country, jazz and rock that is often danced to in pairs"
20001188,electronic dance music,"A genre of music that employs electronic instruments and is primarily made for nightclubs, raves, and festivals"
20001189,children's music,A genre of music featuring songs composed and performed for children
20001190,stand-up comedy,"A comic style in which a comedian performs a series of jokes or stories in front of a live audience, usually speaking directly to them"
20001191,cabaret,"A form of theatrical entertainment featuring music, song, dance, recitation, or drama that is performed in a nightclub or restaurant while the audience eats or drinks at tables"
20001192,influencers,Persons who distribute content on internet forums and social media and are followed by many people thereby influencing them to buy and use products
20001193,sexual misconduct,"Unwanted behavior of a sexual nature that is of lesser offense than felony sexual assault, particularly when behavior occurs in a normally non-sexual situation, or where there is some aspect of personal power or authority involved"
20001194,accounting crime,"The intentional misrepresentation or alteration of accounting records regarding sales, revenues, expenses and other factors"
20001195,tax evasion,"The illegal evasion of taxes by individuals, corporations, and trusts"
20001196,reckless driving,"Serious traffic violations that are likely to, or have led to, the endangerment, injury or death of a person or persons, or the endangerment of or significant property damage"
20001197,administrative law,Body of law that governs the actions of governmental administrative agencies
20001198,court-ordered psychiatric treatment,"Psychiatric treatment imposed upon persons with mental health conditions in prisons and jails or as a condition of probation, supervision or parole"
20001199,suspended sentence,Legal arrangement where a judge delays the serving of a sentence by a person who has been found guilty of a crime in order to give them a probationary period
20001200,dropped criminal investigation,When police and/or prosecutors end an investigation without a conclusion
20001201,wildlife traffic accident,Traffic accidents involving wild animals
20001202,wildfire,An uncontrolled fire in an area of combustible vegetation
20001203,textile arts,"Arts and crafts that use plant, animal, or synthetic fibres to construct practical or decorative object"
20001204,woodworking,"The activity or skill of making items, such as furniture or cabinets, from wood"
20001205,forging,"The shaping of metal using localized compressive forces, such as heating and hammering"
20001206,self-employment,A situation in which an individual works for themselves as a freelancer or business owner instead of working for an employer that pays a salary or a wage
20001207,biofuel,"Fuel that is derived from biomass, such as ethanol"
20001208,geothermal power,Thermal energy that is generated and stored in the Earth
20001209,solar power,Electricity generated and harvested from the sun's rays
20001210,hydroelectric power,Electricity produced from hydropower when water flows through turbines
20001211,wind power,"Electricity that is generated by kinetic energy of wind, usually produced by windmills or turbines"
20001212,religious school,School that has a religious component in its operations or its curriculum
20001213,public school,"Schools maintained by public funds, usually government-imposed taxes"
20001214,private school,Schools maintained by private funds and organizations
20001215,independent and charter school,"Schools funded by money from taxes via government, but run by companies, organizations or cooperatives"
20001216,vocational education,Education that provides students with practical experience and training in a particular occupational field. It is sometimes referred to as career education or technical education
20001217,educational grading,"The evaluation of a student's achievement on a test, assignment or course and the policies and methods around assigning those grades"
20001218,pandemic,An epidemic of infectious disease that has spread across a large region or even worldwide
20001219,drug rehabilitation,"Medical or psychotherapeutic treatment for dependency on substances such as alcohol, prescription and controlled drugs"
20001220,general practice,The treatment of a wide range of acute and long-term medical conditions and symptoms
20001221,emergency care,"Immediate care of patients with critical medical emergencies, either inside or outside of a hospital"
20001222,orthopedics,A medical specialization that focuses on conditions involving the musculoskeletal system
20001223,oncology,"A medical specialization that focuses on the prevention, diagnosis, and treatment of cancer"
20001224,radiology,A medical specialization that focuses on the use of medical imaging (such as x-rays) and radiation to diagnose and sometimes also treat diseases within the body
20001225,eye care,"The medical profession and field of study devoted to diagnosing, preventing and treating eye conditions"
20001226,surgical medicine,"A medical specialization that focuses on the treatment of injuries or disorders of the body by incision or manipulation, especially with instruments"
20001227,psychiatry,"A medical specialization that focuses on the diagnosis, prevention and treatment of mental disorders"
20001228,surgery,The use of incisions made by medical instruments to investigate or treat a medical condition or injury
20001229,healthcare clinic,"Local medical facility or doctor's office associated with a general medicine practice, staffed by one or many doctors, focusing on outpatient treatment or giving recommendations to visit a specialist or hospital"
20001230,"environmental, social and governance policy (ESG)","A company's business practices reflecting responsible social, ethical and environmental policies, sometimes known as corporate social responsibility"
20001231,mixed martial arts,A full-contact combat sport using techniques from various combat sports and martial arts
20001232,elderly care,The long-term care of the elderly provided by residential institutions or by paid daily help in the home
20001233,name ceremony,"Event at which an infant, youth, or adult is given a name"
20001234,graduation,"A ceremony, also known as commencement, at which a person receives a diploma or academic degree"
20001235,funeral and memorial service,A ceremony to memorialise a deceased person
20001236,wedding,"Marriage ceremony and the events and parties surrounding it, such as wedding receptions, engagement parties, bridal showers and bachelor or bachelorette parties"
20001237,anniversary,The celebration or commemoration of a significant amount of years since an event or a notable person's birth or death
20001238,birthday,A celebration on the anniversary of a person's birth.
20001239,exercise and fitness,"Physical activity with the purpose to maintain and improve health and wellness, gain stamina or for enjoyment"
20001240,bodybuilding,"Competitions where participants perform specific poses to display their muscles that have been strengthened and enlarged through strenuous exercise. Competitors are judged based on criteria such as symmetry, muscularity and conditioning."
20001241,horseback riding,The riding of horses for leisure or light exercise.
20001242,steeplechase (athletics),Obstacle race in athletics including barriers and water jumps
20001243,oil and gas,"The exploration, extraction, refining, transporting and marketing of petroleum products and natural gas"
20001244,utilities,"The providing of basic services to the public, such as supplying water, waste removal, heating and cooling"
20001245,infrastructure projects,"The construction of the fundamental facilities and systems serving a country, city, or other area, including roads, bridges, dams, tunnels, telecommunications and electrical grids"
20001246,commercial building,"The construction of buildings for commerce and business, including office buildings, retail shops, restaurants, hotels and stadiums"
20001247,collecting,"The hobby of seeking, locating, acquiring, organizing, cataloging, displaying, storing or maintaining items that are of interest to an individual collector"
20001248,cosmetics,"Products applied to the body to enhance appearance, such as lipstick, eyeliner, foundation and nail polish, and the trends surrounding the application of these products"
20001249,hairstyles,Trends surrounding the cutting and styling of hair
20001250,body modification,"Actions taken to permanently or semi-permanently change body appearance, such as piercing and tattooing"
20001251,tattooing,"A form of body modification where a design is made by inserting ink, dyes and pigments into the dermis layer of the skin to permanently change the pigment"
20001252,piercing,"A form of body modification involving the puncturing or cutting of a part of the human body, creating an opening in which jewelry may be worn or where an implant could be inserted"
20001253,cooking and baking,Interest in preparing meals or baked goods
20001254,"beer, wine and spirits","Interest in the consumption, production and collection of alcoholic beverages"
20001255,home renovation,Interest in renovating one's property
20001256,interior decoration,Interest in decorating one's home
20001257,gardening,Interest in working in one's garden
20001258,consumer electronics,"Electronic devices, such as computers, smart phones or televisions, designed and sold for personal use"
20001259,political party convention,"Meeting of political party to nominate a candidate, choose a party leader or set policy"
20001260,political committee,A legislative sub-group that focuses on a specific area or action
20001261,head of government,The highest official in the executive branch of a political entity
20001262,public inquiry,"An official review of events or actions ordered by a government body, including royal commissions"
20001263,church elections,Elections to choose leaders to run church organizations at various levels
20001264,infrastructure policy,"Policies regarding the development and maintenance of the fundamental facilities of a country, city or other area, such as communication, transportation and distribution networks"
20001265,local government policy,Policies for the development and maintenance of a local government area
20001266,political debates,Organized debates between political candidates during their election campaign
20001267,Midsummer,Northern European celebrations that accompany the Summer solstice
20001268,National day,A designated day to celebrate a nation
20001269,New year,The celebration of the end of one calendar year and the start of next
20001270,Halloween,"A celebration observed in a number of countries on 31 October with activities including trick-or-treating, wearing costumes, carving pumpkins, visiting haunted attractions, telling scary stories and watching horror films"
20001271,All Saints Day,"Christian festival celebrated in honor of all the saints, known and unknown. Holiday is also known as All Hallows' Day, Hallowmas, Feast of All Saints or Solemnity of All Saints."
20001272,Walpurgis night,"The eve of the Christian feast day of Saint Walpurga, an 8th-century abbess in Francia, celebrated on the night of 30 April and the day of 1 May"
20001273,baptism,"A Christian religious rite, sometimes also called a Christening, involving the sprinkling of holy water onto a person's forehead or immersing them in water, symbolizing purification and admission to the Church"
20001274,contraception,A method or device used to prevent pregnancy
20001275,gig economy,"a labor market consisting of individual suppliers on short-term contracts or freelance work as opposed to permanent jobs, such as drivers or delivery workers"
20001276,parental leave,Time off work to give birth or care for a child
20001277,volunteering,Unpaid work undertaken freely by individuals as a service to others
20001278,cooperative,"An organization which is owned and run jointly by its members, who share the profits or benefits of their work"
20001279,cryptocurrency,An internet-based medium of exchange using cryptography to conduct financial transactions
20001280,hurricane,"A type of storm also called a tropical cyclone, which forms over tropical or subtropical waters"
20001281,racquetball,A racquet sport similar to squash in which the ball must bounce once before being struck and with a greater area of in-bound play
20001282,ringette,A team sport usually played on ice by skaters using a straight stick. Players pass and shoot a rubber ring in order to place it in the opponent's goal
20001283,human smuggling and trafficking,"The illegal transporting of people from one country or area to another. When the result is forced labor or sexual exploitation, the crime is considered trafficking."
20001284,bullying,"Taking actions meant to harm, coerce and intimidate another person perceived as vulnerable. These actions can be taken in person or online."
20001285,vandalism,Deliberately damaging or destroying public or private property
20001286,arm wrestling,A form of wrestling in which two participants grapple arm-to-arm
20001287,supreme and high court,"matters related to supreme or high courts, including nominations and rulings"
20001288,indigenous people,"People who are the original owners and caretakers of a given region, also known as native peoples, first peoples or aboriginal peoples, in contrast to groups that have settled, occupied or colonized the area more recently"
20001289,sales channel,Indirect or direct ways of bringing products or services to market so that they can be purchased by consumers
20001290,public housing,Housing that is owned or managed by a government or nonprofit organization and rented to tenants with the aim of making housing affordable. Eligibility for such housing arrangements varies country to country.
20001291,heating and cooling,"The business of supplying heat, cooling and ventilation to private residences and commercial buildings"
20001292,economic development incentive,"The offer of funds, financial incentive programmes or subsidies to stimulate businesses and the economy"
20001293,streaming service,"Providers of entertainment (music, movies, series, etc.) that deliver the content via an internet connection to the subscriber's computer, TV or mobile device"
20001294,crowdfunding,"The funding of a project or venture by raising small amounts of money from a large number of people, typically via the internet"
20001295,outsourcing,Business practice in which services or job functions are farmed out to a third party
20001296,shopping mall,A large building or series of connected buildings that contain a variety of retail stores and food vendors
20001297,shopping district and high street,Primary retail streets of towns or cities containing individual stores and restaurants
20001298,artificial intelligence,"An attempt to let computers simulate how the human brain works by applying statistical, heuristic or machine learning methods and algorithms to large datasets. Enables a long range of automatic functions like image recognition and categorization."
20001299,surveillance,Monitoring the activities of the individual through the use of cameras and data in order to prevent or uncover criminal activities
20001300,privacy,The right of an individual or group to keep information about themselves private
20001301,sport achievement,Records or honors earned by athletes for their performance
20001302,sports record,The best performance to date by an athlete or team in a sport discipline
20001303,sports medal and trophy,"Award given to an athlete or team for placing in a sports competition, such as a gold medal at the Olympics or the Stanley Cup in ice hockey"
20001304,sports honor,"Honor given to a player for achievements over a career, season or single event, unrelated to event outcome, usually awarded by a panel of judges or a popular vote. Examples include player of the game, most valuable player award or hall of fame induction."
20001305,padel,Racket sport typically played in doubles on an enclosed court
20001306,kiting,"Action sport where a person harnesses the power of the wind to propel themselves across water, land or snow on a board, snowboard or skis. Variations of the sport are called kiteboarding/kitesurfing, snowkiting or landkiting."
20001307,stand up paddleboarding (SUP),Water sport using a board and paddle to propel through the water while standing
20001308,krav maga,"Fighting and self-defense sport that combines elements from aikido, boxing, judo, karate and wrestling"
20001309,cheerleading,"Cheer squads competing against each other to perform a routine that includes stunts, jumps and tumbling set to music. Squads are judged on difficulty and execution."
20001310,kickboxing,Stand-up combat sport based on kicking and punching an opponent
20001311,sombo (martial art),Style of martial art originating in the Soviet Union that is recognized as a form of amateur wrestling
20001312,political leadership,Positions of leadership within political parties and discussion around whether leadership changes need to be made
20001313,shootings,An act of violence committed by individuals with the use of armed weapons
20001314,animal abuse,The infliction of cruelty or neglect onto animals by humans
20001315,zoo,A park where visitors can see both wild and tame animals that are kept in cages or enclosed areas
20001316,border dispute,Diplomatic issues between two countries regarding territorial borders
20001317,child care,"Services and facilities that look after children while their parents are working or away, including daycare centers and programs"
20001318,pests,Animals or insects that invade a human space causing destruction or unsanitary conditions
20001319,disinformation and misinformation,The spread of false information regardless of intent
20001320,torture,Intentionally inflicting severe physical or psychological pain in order to punish the victim or get the victim to take an action or give information
20001321,drowning,"When a person's airpipe and lungs become filled with water causing death or injury, most often caused by falling into or bathing in rivers, lakes or the ocean"
20001322,poisoning,When a substance in sufficient quantity adversely affects the body and its functions
20001323,sports coaching,The staff responsible for the training and on-field management of a sports team
20001324,sports management and ownership,The executive leadership and owners of a sports team
20001325,sports officiating,"Referees, umpires and other staff who enforce the rules of a sport from on the field of play"
20001326,women's rights,"The rights of women to be treated equally as men, such as pay parity, feminism and bodily autonomy around abortion"
20001327,women,"People who identify as female, focusing on the group as a demographic, and accomplishments, such as the first woman to achieve a milestone or serve in a role"
20001328,men,"People who identify as male, focusing on the group as a demographic, and masculinity"
20001329,3x3 basketball,A variation of basketball played three a side on one basketball hoop
20001330,canoe slalom,"Competitors navigate a canoe or a kayak on a white-water course, passing through a combination of upstream and downstream gates on river rapids in the fastest time possible"
20001331,canoe sprint,"Taking place on a flatwater course, multiple canoes take off at once and race each other to the finish"
20001332,bmx freestyle,"Riders are given a fixed time to perform acrobatics tricks and skills, with tricks scored on multiple aspects including difficulty, originality, execution, height and creativity"
20001333,road cycling,"Cycling events held on roads, including road races and time trials"
20001334,track cycling,"Cycling competitions held on tracks, including sprint, team sprint, keirin, team pursuit, omnium and madison events"
20001335,football 5-a-side,A variation of association football in which each team fields five players and play is on a smaller pitch. An official Summer Paralympics sport.
20001336,goalball,"A team sport for athletes with a vision impairment, using a ball containing bells"
20001337,online and remote learning,"Learning where a student and teacher are not physically present in the same location. Instruction can occur synchronously or asynchronously and utilizes technology such as video conferencing, online assessments and video conferencing."
20001338,education policy,"Government programmes and policies related to education, such as the funding of schools and standardized testing"
20001339,wellness,The active pursuit of good mental and physical health
20001340,mental wellbeing,"The personal pursuit of mental health through activities such as meditation, stress reduction, technology detoxes and journaling"
20001341,regular competition,A competitive sporting season where teams or individuals contend for a place in the standings or rankings
20001342,playoff championship,"A competitive tournament, often played after the regular season of a sports league by the top competitors to determine the league champion or a similar accolade. Can also apply to an all-in elimination tournament meant to produce a final champion."
20001343,final game,"Single game that determines the winner of a championship, such as the Super Bowl or Champions League Final"
20001344,Catholicism,"Largest Christian religion in the world encompassing the Roman Catholic Church which is led by the pope, and Old Catholicism, a breakaway movement founded in 1870 that denies the dogma of infallibility of the pope"
20001345,bar and bat mitzvah,Young person becoming an adult in the Jewish faith
20001346,canonization,The declaration of a deceased person as an officially recognized saint
20001347,Shia Islam,The second largest branch of Islam believing that the Prophet Muhammad designated Ali ibn Abi Talib as his successor
20001348,Sunni Islam,The largest branch of Islam believing that the Prophet Muhammad did not designate a successor
20001349,atheism and agnosticism,The belief that god does not exist or that it is impossible to know whether a god exists
20001350,Eid al-Adha,Muslim festival marking the culmination of the annual hajj pilgrimage and commemorating the willingness of the Prophet Ibrahim to sacrifice his son
20001351,Hasidism,Jewish religious group that believes that the Torah is the literal word of God and that carrying out this word is what gives meaning and purpose to life
20001352,Hanukkah,"Jewish festival, sometimes spelled Chanukah, observed by lighting the candles of a menorah"
20001353,tsunami,"High and powerful ocean waves caused by an underwater land disturbance, such as an earthquake or volcanic eruption, known to cause significant damage and loss when they hit land"
20001354,healthcare industry,"Goods and services to treat patients through curative, preventive, rehabilitative and palliative care"
20001355,developmental disorder,"Conditions due to an impairment in learning, language or behavior areas, such as autism, Aspergers and dyslexia"
20001356,depression,"A mental health disorder characterized by persistently depressed mood and loss of interest in activities, causing significant impairment in daily life"
20001357,anxiety and stress,"A mental health disorder characterized by feelings of worry, anxiousness or fear that are strong enough to interfere with one's daily activities"
20001358,public health,"Organized public or private measures designed to prevent disease, promote health and prolong life among the population as a whole"
20001359,pregnancy and childbirth,"Social and medical issues around pregnancy and giving birth including, doulas and midwives, obstetrics and medical concerns"
20001360,fraternal and community group,"Social organizations whose members freely associate for a mutually beneficial purpose such as for social, professional or honorary principles. Groups include Rotary clubs, Lions clubs or Freemasons."
20001361,cyber warfare,"Cyber attacks, or suspected attacks, involving a government entity as either the sponsor or the target, or preventive measures against these types of actions"
20001362,public transport,"Forms of transportation, such as buses and trains, that charge set fares, run on fixed routes and are available to the general public"
20001363,taxi and ride-hailing,"On-demand ride service, provided by taxi companies or tech companies such as Uber and Lyft, the drivers who transport passengers and the rules and regulations imposed upon these companies within a region"
20001364,shared transport,"A network of vehicles, such as cars, bikes and scooters, that can be rented by travelers on an as-needed basis for short-term use"
20001365,business reporting and performance,Measuring and reporting on the performance of a business
20001366,business restructuring,Changes to the structure of a business or organisation
20001367,commercial real estate:,The building and sale of property used for business purposes rather than as a living space
20001368,residential real estate,The building and sale of property to be used as living space
20001369,podcast,"Podcast networks and the people who create and distribute audio content, typically in a series format, to audiences"
20001370,financial service,"Professional services involving the investment, lending or management of money and other assets"
20001371,business service,"Services provided to business operations and for individuals, such as consulting, legal representation and job placement"
20001372,news industry,"The production and distribution of content about newsworthy events through print, broadcast, video or electronic media"
20001373,"diversity, equity and inclusion",Efforts that seeks to promote the fair treatment and full participation of groups of people who have historically been underrepresented or subject to discrimination on the basis of identity or disability
20001374,sustainability,"Actions by businesses, governments and individuals to counter major environmental problems, including climate change, loss of biodiversity, loss of ecosystem services, land degradation and air and water pollution"
20001375,profit sharing,A system by which employees are paid a share of the net profits of their employer. These earnings are distinct from and additional to regular wages.
20001376,corporate bond,Corporate paper representing the loan of money at a fixed rate and for a fixed time to that company or government
20001377,war victims,"Individuals who are injured or killed in a war or armed conflict, including civilians"
20001378,missing in action,A member of the armed forces who cannot be located and has not been confirmed as either alive or dead
20001379,breaking (breakdance),"Dancing competition featuring an urban dance style that originated in the United States in the 1970s with roots in hip-hop culture and characterized by acrobatic movements, stylized footwork, and the key role played by the DJ and the MC during battles"
20001380,special election,"An election used to fill an office that has become vacant between general elections because of the death of a politician, a resignation or other reason"
20001381,recall election,A special election to vote to remove an elected official from office before that official's term has ended
20001382,coalition building,Political parties entering a power-sharing arrangement usually occurring when no single party has achieved an absolute majority after an election
20001383,zoning policy,"Polices around the division of land into zones, each of which has a set of regulations for new development"
20001384,political party,Organization that coordinates candidates to run to represent that party in an election
20001385,political movement and association,A collective of people with the aim to change government policy or social values in opposition to the status quo
20001386,communism,Form of government that aims to replace private property and a profit-based economy with public ownership and communal control of the means of production and the natural resources within in society
20001387,democratic socialism,Form of government that consists of a socialist economy in which the means of production are socially and collectively owned or controlled alongside a democratic political system of government with officials elected to office by citizens
20001388,theocracy,Form of government in which authority comes from a religion and the leaders are thought to be divinely guided
20001389,absolute monarchy,"Form of government in which a person, who is part of a hereditary line, reigns as head of state for life or until abdication"
20001390,ski mountaineering,ski mountaineering
